geoid,census_tract,white_pop,total_pop,white_pct,non_white_pct
09009166004,"Census Tract 1660.04, New Haven County, Connecticut",2931,4995,58.67867867867867,41.32132132132133
09009167101,"Census Tract 1671.01, New Haven County, Connecticut",2832,3644,77.71679473106477,22.283205268935234
09009167102,"Census Tract 1671.02, New Haven County, Connecticut",3746,4311,86.89399211319879,13.106007886801208
09009167201,"Census Tract 1672.01, New Haven County, Connecticut",3650,4406,82.84157966409441,17.15842033590559
09009167202,"Census Tract 1672.02, New Haven County, Connecticut",3665,4266,85.91186122831692,14.088138771683077
09009167301,"Census Tract 1673.01, New Haven County, Connecticut",6064,7590,79.89459815546772,20.10540184453228
09009170100,"Census Tract 1701, New Haven County, Connecticut",513,1359,37.74834437086093,62.25165562913907
09009170200,"Census Tract 1702, New Haven County, Connecticut",529,1689,31.32030787448194,68.67969212551806
09009170300,"Census Tract 1703, New Haven County, Connecticut",1043,2094,49.80897803247373,50.19102196752627
09009170400,"Census Tract 1704, New Haven County, Connecticut",1111,1899,58.50447604002106,41.49552395997894
09009170500,"Census Tract 1705, New Haven County, Connecticut",4408,5592,78.826895565093,21.173104434907003
09009170600,"Census Tract 1706, New Haven County, Connecticut",1661,2605,63.76199616122841,36.23800383877159
09009170700,"Census Tract 1707, New Haven County, Connecticut",1378,2142,64.33239962651727,35.66760037348273
09009170800,"Census Tract 1708, New Haven County, Connecticut",4671,7005,66.68094218415418,33.319057815845824
09009170900,"Census Tract 1709, New Haven County, Connecticut",1572,2524,62.28209191759112,37.71790808240888
09009171000,"Census Tract 1710, New Haven County, Connecticut",907,1841,49.26670287887018,50.73329712112982
09009171100,"Census Tract 1711, New Haven County, Connecticut",4724,5588,84.53829634931998,15.461703650680022
09009171201,"Census Tract 1712.01, New Haven County, Connecticut",4031,5075,79.42857142857143,20.57142857142857
09009171202,"Census Tract 1712.02, New Haven County, Connecticut",2664,3082,86.4373783257625,13.562621674237505
09009171300,"Census Tract 1713, New Haven County, Connecticut",2950,3721,79.27976350443429,20.720236495565715
09009171400,"Census Tract 1714, New Haven County, Connecticut",1232,1775,69.40845070422536,30.59154929577464
09009171500,"Census Tract 1715, New Haven County, Connecticut",1105,3410,32.40469208211144,67.59530791788856
09009171600,"Census Tract 1716, New Haven County, Connecticut",3449,5609,61.4904617578891,38.5095382421109
09009171700,"Census Tract 1717, New Haven County, Connecticut",3297,3780,87.22222222222223,12.777777777777771
09009175100,"Census Tract 1751, New Haven County, Connecticut",2619,3201,81.81818181818183,18.181818181818173
09009175200,"Census Tract 1752, New Haven County, Connecticut",1945,2792,69.66332378223495,30.336676217765046
09009175300,"Census Tract 1753, New Haven County, Connecticut",3275,4043,81.004204798417,18.995795201582993
09009175400,"Census Tract 1754, New Haven County, Connecticut",3036,5240,57.93893129770993,42.06106870229007
09009175501,"Census Tract 1755.01, New Haven County, Connecticut",1699,1754,96.86431014823262,3.1356898517673812
09009175502,"Census Tract 1755.02, New Haven County, Connecticut",5000,5290,94.5179584120983,5.482041587901705
09009175600,"Census Tract 1756, New Haven County, Connecticut",4694,5313,88.34933182759269,11.650668172407308
09009175700,"Census Tract 1757, New Haven County, Connecticut",1977,2040,96.91176470588235,3.088235294117652
09009175800,"Census Tract 1758, New Haven County, Connecticut",3041,4088,74.38845401174167,25.611545988258328
09009175900,"Census Tract 1759, New Haven County, Connecticut",5020,5207,96.4086806222393,3.5913193777606978
09009176000,"Census Tract 1760, New Haven County, Connecticut",5252,5460,96.19047619047619,3.80952380952381
09009180101,"Census Tract 1801.01, New Haven County, Connecticut",1713,2037,84.09425625920471,15.905743740795288
09009180102,"Census Tract 1801.02, New Haven County, Connecticut",3855,4963,77.6747934716905,22.325206528309494
09009180200,"Census Tract 1802, New Haven County, Connecticut",3509,5104,68.75,31.25
09009180300,"Census Tract 1803, New Haven County, Connecticut",1718,2441,70.38099139696845,29.619008603031546
09009180400,"Census Tract 1804, New Haven County, Connecticut",1460,2496,58.493589743589745,41.506410256410255
09009180500,"Census Tract 1805, New Haven County, Connecticut",3034,4409,68.81378997505104,31.186210024948963
09009180601,"Census Tract 1806.01, New Haven County, Connecticut",3134,3330,94.11411411411412,5.885885885885884
09009180602,"Census Tract 1806.02, New Haven County, Connecticut",3156,3274,96.3958460598656,3.6041539401343954
09009184101,"Census Tract 1841.01, New Haven County, Connecticut",4344,5223,83.17059161401494,16.82940838598506
09009184200,"Census Tract 1842, New Haven County, Connecticut",3002,4157,72.21554005292278,27.784459947077224
09009184300,"Census Tract 1843, New Haven County, Connecticut",4237,4401,96.27357418768462,3.7264258123153837
09009184400,"Census Tract 1844, New Haven County, Connecticut",3115,3222,96.67908131595281,3.320918684047186
09009184500,"Census Tract 1845, New Haven County, Connecticut",2404,2485,96.74044265593561,3.2595573440643903
09009184600,"Census Tract 1846, New Haven County, Connecticut",2780,2921,95.17288599794591,4.827114002054088
09009184700,"Census Tract 1847, New Haven County, Connecticut",4932,5821,84.72771001546127,15.27228998453873
09009186100,"Census Tract 1861, New Haven County, Connecticut",6626,6931,95.59948059443082,4.4005194055691845
09009186200,"Census Tract 1862, New Haven County, Connecticut",6186,6712,92.16328963051251,7.836710369487491
09009190100,"Census Tract 1901, New Haven County, Connecticut",2788,3250,85.78461538461538,14.215384615384622
09009190200,"Census Tract 1902, New Haven County, Connecticut",2941,3187,92.28114213994351,7.718857860056488
09009190301,"Census Tract 1903.01, New Haven County, Connecticut",6286,6828,92.06209724663151,7.9379027533684905
09009190302,"Census Tract 1903.02, New Haven County, Connecticut",5076,5505,92.20708446866485,7.792915531335154
09009190303,"Census Tract 1903.03, New Haven County, Connecticut",2869,3343,85.82111875560874,14.178881244391263
09009194101,"Census Tract 1941.01, New Haven County, Connecticut",1877,1986,94.5115810674723,5.4884189325276935
09009194102,"Census Tract 1941.02, New Haven County, Connecticut",2629,2758,95.32269760696157,4.677302393038431
09009194201,"Census Tract 1942.01, New Haven County, Connecticut",6713,7253,92.5548049083138,7.445195091686202
09009194202,"Census Tract 1942.02, New Haven County, Connecticut",5087,5745,88.54656222802437,11.45343777197563
09009341100,"Census Tract 3411, New Haven County, Connecticut",5743,6027,95.2878712460594,4.712128753940604
09009343101,"Census Tract 3431.01, New Haven County, Connecticut",3775,5896,64.02645861601086,35.973541383989144
09009343102,"Census Tract 3431.02, New Haven County, Connecticut",3533,4071,86.78457381478752,13.215426185212479
09009343200,"Census Tract 3432, New Haven County, Connecticut",4749,5356,88.66691560866317,11.333084391336826
09009343300,"Census Tract 3433, New Haven County, Connecticut",6004,6519,92.10001533977604,7.899984660223964
09009343400,"Census Tract 3434, New Haven County, Connecticut",5057,6924,73.03581744656267,26.964182553437325
09009344100,"Census Tract 3441, New Haven County, Connecticut",4394,4839,90.80388510022732,9.196114899772681
09009344200,"Census Tract 3442, New Haven County, Connecticut",2432,2778,87.54499640028797,12.455003599712029
09009345100,"Census Tract 3451, New Haven County, Connecticut",5932,7400,80.16216216216216,19.83783783783784
09009345201,"Census Tract 3452.01, New Haven County, Connecticut",5482,7227,75.85443475854434,24.145565241455657
09009345202,"Census Tract 3452.02, New Haven County, Connecticut",3256,4184,77.82026768642447,22.179732313575528
09009345300,"Census Tract 3453, New Haven County, Connecticut",5462,6322,86.39670990192977,13.603290098070232
09009345400,"Census Tract 3454, New Haven County, Connecticut",5236,6453,81.14055478072214,18.85944521927786
09009346101,"Census Tract 3461.01, New Haven County, Connecticut",6204,6670,93.01349325337331,6.986506746626688
09009346102,"Census Tract 3461.02, New Haven County, Connecticut",5319,6074,87.56997036549227,12.430029634507733
09009347100,"Census Tract 3471, New Haven County, Connecticut",5284,5701,92.68549377302227,7.314506226977727
09009347200,"Census Tract 3472, New Haven County, Connecticut",3333,3660,91.06557377049181,8.93442622950819
09009348111,"Census Tract 3481.11, New Haven County, Connecticut",2400,2611,91.91880505553428,8.081194944465722
09009348122,"Census Tract 3481.22, New Haven County, Connecticut",3804,4096,92.87109375,7.12890625
09009348123,"Census Tract 3481.23, New Haven County, Connecticut",5781,6389,90.48364376271716,9.516356237282835
09009348124,"Census Tract 3481.24, New Haven County, Connecticut",2287,2381,96.05207895842082,3.9479210415791783
09009348125,"Census Tract 3481.25, New Haven County, Connecticut",3553,4389,80.95238095238095,19.04761904761905
09009350101,"Census Tract 3501.01, New Haven County, Connecticut",1647,3505,46.99001426533523,53.00998573466477
09009350200,"Census Tract 3502, New Haven County, Connecticut",1043,3331,31.311918342839988,68.68808165716001
09009350300,"Census Tract 3503, New Haven County, Connecticut",724,1760,41.13636363636364,58.86363636363636
09009350400,"Census Tract 3504, New Haven County, Connecticut",684,2413,28.346456692913385,71.65354330708661
09009350500,"Census Tract 3505, New Haven County, Connecticut",681,2332,29.202401372212694,70.79759862778731
09009350800,"Census Tract 3508, New Haven County, Connecticut",3508,6376,55.01882057716436,44.98117942283564
09009350900,"Census Tract 3509, New Haven County, Connecticut",1519,2328,65.2491408934708,34.750859106529205
09009351000,"Census Tract 3510, New Haven County, Connecticut",2317,4339,53.39940078359069,46.60059921640931
09009351100,"Census Tract 3511, New Haven County, Connecticut",1456,4172,34.899328859060404,65.1006711409396
09009351200,"Census Tract 3512, New Haven County, Connecticut",1543,3591,42.96853244221665,57.03146755778335
09009351300,"Census Tract 3513, New Haven County, Connecticut",3050,5542,55.03428365211115,44.96571634788885
09009351400,"Census Tract 3514, New Haven County, Connecticut",2212,4621,47.868426747457264,52.131573252542736
09009351500,"Census Tract 3515, New Haven County, Connecticut",2935,4773,61.491724282421956,38.508275717578044
09009351601,"Census Tract 3516.01, New Haven County, Connecticut",1702,3110,54.726688102893895,45.273311897106105
09009351602,"Census Tract 3516.02, New Haven County, Connecticut",5356,7458,71.8155001340842,28.184499865915797
09009351700,"Census Tract 3517, New Haven County, Connecticut",2044,3285,62.22222222222222,37.77777777777778
09009351800,"Census Tract 3518, New Haven County, Connecticut",3038,4311,70.47088842495941,29.529111575040588
09009351900,"Census Tract 3519, New Haven County, Connecticut",2421,2967,81.59757330637008,18.40242669362992
09009352000,"Census Tract 3520, New Haven County, Connecticut",3500,5061,69.15629322268326,30.84370677731674
09009352100,"Census Tract 3521, New Haven County, Connecticut",2983,4651,64.13674478606751,35.86325521393249
09009352200,"Census Tract 3522, New Haven County, Connecticut",1866,2842,65.65798733286418,34.34201266713582
09009352300,"Census Tract 3523, New Haven County, Connecticut",1093,2805,38.96613190730838,61.03386809269162
09009352400,"Census Tract 3524, New Haven County, Connecticut",2702,4069,66.4045219955763,33.5954780044237
