geoid,name,median_income
09001061100,"Census Tract 611, Fairfield County, Connecticut",188060
09001061200,"Census Tract 612, Fairfield County, Connecticut",96625
09001061300,"Census Tract 613, Fairfield County, Connecticut",96125
09001061400,"Census Tract 614, Fairfield County, Connecticut",78173
09001061500,"Census Tract 615, Fairfield County, Connecticut",201429
09001061600,"Census Tract 616, Fairfield County, Connecticut",148194
09001070100,"Census Tract 701, Fairfield County, Connecticut",91858
09001070200,"Census Tract 702, Fairfield County, Connecticut",47383
09001070300,"Census Tract 703, Fairfield County, Connecticut",18093
09001070400,"Census Tract 704, Fairfield County, Connecticut",41027
09001070500,"Census Tract 705, Fairfield County, Connecticut",33946
09001070600,"Census Tract 706, Fairfield County, Connecticut",30435
09001070900,"Census Tract 709, Fairfield County, Connecticut",30929
09001071000,"Census Tract 710, Fairfield County, Connecticut",56837
09001071100,"Census Tract 711, Fairfield County, Connecticut",47837
09001071200,"Census Tract 712, Fairfield County, Connecticut",41350
09001071300,"Census Tract 713, Fairfield County, Connecticut",35147
09001071400,"Census Tract 714, Fairfield County, Connecticut",44799
09001071600,"Census Tract 716, Fairfield County, Connecticut",19698
09001071900,"Census Tract 719, Fairfield County, Connecticut",46369
09001072000,"Census Tract 720, Fairfield County, Connecticut",52039
09001072100,"Census Tract 721, Fairfield County, Connecticut",59306
09001072200,"Census Tract 722, Fairfield County, Connecticut",51991
09001072300,"Census Tract 723, Fairfield County, Connecticut",68006
09001072400,"Census Tract 724, Fairfield County, Connecticut",63687
09001072500,"Census Tract 725, Fairfield County, Connecticut",61820
09001072600,"Census Tract 726, Fairfield County, Connecticut",64194
09001072700,"Census Tract 727, Fairfield County, Connecticut",70544
09001072800,"Census Tract 728, Fairfield County, Connecticut",65127
09001072900,"Census Tract 729, Fairfield County, Connecticut",65529
09001073000,"Census Tract 730, Fairfield County, Connecticut",107188
09001073100,"Census Tract 731, Fairfield County, Connecticut",55455
09001073200,"Census Tract 732, Fairfield County, Connecticut",38209
09001073300,"Census Tract 733, Fairfield County, Connecticut",42794
09001073400,"Census Tract 734, Fairfield County, Connecticut",56935
09001073500,"Census Tract 735, Fairfield County, Connecticut",50924
09001073600,"Census Tract 736, Fairfield County, Connecticut",53529
09001073700,"Census Tract 737, Fairfield County, Connecticut",42689
09001073800,"Census Tract 738, Fairfield County, Connecticut",23669
09001073900,"Census Tract 739, Fairfield County, Connecticut",34333
09001074000,"Census Tract 740, Fairfield County, Connecticut",37350
09001074300,"Census Tract 743, Fairfield County, Connecticut",39175
09001074400,"Census Tract 744, Fairfield County, Connecticut",49638
09001080100,"Census Tract 801, Fairfield County, Connecticut",63287
09001080200,"Census Tract 802, Fairfield County, Connecticut",66750
09001080400,"Census Tract 804, Fairfield County, Connecticut",67877
09001080500,"Census Tract 805, Fairfield County, Connecticut",84643
09001080600,"Census Tract 806, Fairfield County, Connecticut",70083
09001080700,"Census Tract 807, Fairfield County, Connecticut",80833
09001080800,"Census Tract 808, Fairfield County, Connecticut",104000
09001080900,"Census Tract 809, Fairfield County, Connecticut",96543
09001081000,"Census Tract 810, Fairfield County, Connecticut",70438
09001081100,"Census Tract 811, Fairfield County, Connecticut",131538
09001081200,"Census Tract 812, Fairfield County, Connecticut",124340
09001081300,"Census Tract 813, Fairfield County, Connecticut",71691
09001090100,"Census Tract 901, Fairfield County, Connecticut",145294
09001090200,"Census Tract 902, Fairfield County, Connecticut",127411
09001090300,"Census Tract 903, Fairfield County, Connecticut",122132
09001090400,"Census Tract 904, Fairfield County, Connecticut",137426
09001090500,"Census Tract 905, Fairfield County, Connecticut",137386
09001090600,"Census Tract 906, Fairfield County, Connecticut",140804
09001090700,"Census Tract 907, Fairfield County, Connecticut",161464
09001100100,"Census Tract 1001, Fairfield County, Connecticut",123810
09001100200,"Census Tract 1002, Fairfield County, Connecticut",127877
09001100300,"Census Tract 1003, Fairfield County, Connecticut",139833
09001105100,"Census Tract 1051, Fairfield County, Connecticut",156667
09001105200,"Census Tract 1052, Fairfield County, Connecticut",168911
09001110100,"Census Tract 1101, Fairfield County, Connecticut",76389
09001110201,"Census Tract 1102.01, Fairfield County, Connecticut",98090
09001110202,"Census Tract 1102.02, Fairfield County, Connecticut",73973
09001110301,"Census Tract 1103.01, Fairfield County, Connecticut",86339
09001110302,"Census Tract 1103.02, Fairfield County, Connecticut",110921
09001110400,"Census Tract 1104, Fairfield County, Connecticut",119261
09001110500,"Census Tract 1105, Fairfield County, Connecticut",148536
09001110601,"Census Tract 1106.01, Fairfield County, Connecticut",130530
09001110602,"Census Tract 1106.02, Fairfield County, Connecticut",106786
09001200100,"Census Tract 2001, Fairfield County, Connecticut",86367
09001200200,"Census Tract 2002, Fairfield County, Connecticut",55991
09001200301,"Census Tract 2003.01, Fairfield County, Connecticut",154565
09001200302,"Census Tract 2003.02, Fairfield County, Connecticut",123194
09001205100,"Census Tract 2051, Fairfield County, Connecticut",110377
09001205200,"Census Tract 2052, Fairfield County, Connecticut",143870
09001205300,"Census Tract 2053, Fairfield County, Connecticut",123713
09001210101,"Census Tract 2101.01, Fairfield County, Connecticut",76406
09001210102,"Census Tract 2101.02, Fairfield County, Connecticut",21831
09001210201,"Census Tract 2102.01, Fairfield County, Connecticut",57554
09001210202,"Census Tract 2102.02, Fairfield County, Connecticut",61181
09001210300,"Census Tract 2103, Fairfield County, Connecticut",62422
09001210401,"Census Tract 2104.01, Fairfield County, Connecticut",80923
09001210402,"Census Tract 2104.02, Fairfield County, Connecticut",90511
09001210501,"Census Tract 2105.01, Fairfield County, Connecticut",68470
09001210502,"Census Tract 2105.02, Fairfield County, Connecticut",93779
09001210600,"Census Tract 2106, Fairfield County, Connecticut",54502
